gene_id	GO.IDs
comp10347_c0_seq1	GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0009719;GO:0005164;GO:0033209
comp10348_c0_seq1	GO:0008152;GO:0016491;GO:0008670
comp1035_c0_seq1	GO:0019904;GO:0004623;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499
comp10353_c0_seq1	GO:0007275;GO:0002226;GO:0042381
comp10353_c0_seq1	GO:0007275;GO:0002226;GO:0042381
comp10357_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004715
comp10359_c0_seq1	GO:0005525;GO:0007264;GO:0006886;GO:0015031;GO:0003924;GO:0003925
comp10363_c0_seq1	GO:0005515;GO:0008270
comp10365_c0_seq1	GO:0005737;GO:0006817
comp10368_c0_seq1	GO:0006412
comp10372_c0_seq1	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0010992
comp10376_c0_seq1	GO:0003676;GO:0005737;GO:0045449
comp10377_c0_seq1	GO:0007155;GO:0005529;GO:0004713;GO:0002226;GO:0001867
comp10377_c0_seq1	GO:0007155;GO:0005529;GO:0004713;GO:0002226;GO:0001867
comp1038_c0_seq1	GO:0005201;GO:0005581;GO:0008336
comp10380_c0_seq1	GO:0005737;GO:0006817
comp10383_c0_seq1	GO:0003676
comp10384_c0_seq1	GO:0016262;GO:0051301
comp10386_c0_seq1	GO:0003743;GO:0006413;GO:0006412
comp10390_c0_seq1	GO:0031419
comp10391_c0_seq1	GO:0006118;GO:0016491;GO:0004047;GO:0005737;GO:0006546;GO:0008480
comp10393_c0_seq1	GO:0003676
comp10397_c0_seq1	GO:0015019
comp1040_c0_seq1	GO:0003824;GO:0008152;GO:0004467
comp10402_c0_seq1	GO:0005515;GO:0003774;GO:0005200;GO:0005884
comp10407_c0_seq1	GO:0016251
comp10409_c0_seq1	GO:0006457;GO:0031072;GO:0051082;GO:0005525;GO:0007264;GO:0006886;GO:0015031;GO:0003924;GO:0003925
comp1041_c0_seq1	GO:0006118;GO:0004497
comp10410_c0_seq1	GO:0047238;GO:0050510
comp10418_c0_seq1	GO:0005515;GO:0006457;GO:0016272;GO:0006950;GO:0033554;GO:0061077
comp1042_c0_seq1	GO:0016853;GO:0005489;GO:0006118;GO:0003756
comp10421_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0005007
comp10423_c0_seq1	GO:0006807;GO:0016810;GO:0017159
comp10424_c0_seq1	GO:0003777;GO:0005524;GO:0005875;GO:0007018;GO:0008574
comp10427_c0_seq1	GO:0003950
comp10427_c0_seq1	GO:0003950
comp10427_c0_seq1	GO:0003950
comp1043_c0_seq1	GO:0006520;GO:0016831;GO:0004837
comp10430_c0_seq1	GO:0003676;GO:0010992
comp10435_c0_seq1	GO:0016021
comp10436_c0_seq1	GO:0003676;GO:0050265
comp10437_c0_seq1	GO:0003735;GO:0005622;GO:0005840;GO:0006412
comp10439_c0_seq1	GO:0004342;GO:0006044;GO:0005975
comp1044_c0_seq1	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0010992
comp10441_c0_seq1	GO:0016905
comp10443_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004751;GO:0009052
comp10451_c0_seq1	GO:0007155;GO:0005529;GO:0002226;GO:0001867
comp10451_c0_seq1	GO:0007155;GO:0005529;GO:0002226;GO:0001867
comp10453_c0_seq1	GO:0004888;GO:0016020;GO:0002226;GO:0009682
comp10457_c0_seq1	GO:0000175;GO:0003723;GO:0006396;GO:0004534;GO:0016896
comp10458_c0_seq1	GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0000810;GO:0004787;GO:0008722;GO:0008758;GO:0008796;GO:0008828;GO:0016462;GO:0016818;GO:0019176;GO:0019177;GO:0003887;GO:0003889;GO:0003890;GO:0003891;GO:0003893;GO:0003894;GO:0003895;GO:0015999;GO:0016000;GO:0016448;GO:0016449;GO:0016450;GO:0016451;GO:0016452;GO:0019984
comp10459_c0_seq1	GO:0004197;GO:0006508;GO:0008234;GO:0004217
comp10461_c0_seq1	GO:0006950;GO:0033554
comp10466_c0_seq1	GO:0004565;GO:0005975;GO:0009341
comp10474_c0_seq1	GO:0004872;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808
comp10475_c0_seq1	GO:0004411;GO:0006559;GO:0006570
comp1048_c0_seq1	GO:0016021
comp10480_c0_seq1	GO:0006118;GO:0016021
comp10488_c0_seq1	GO:0007218;GO:0016020;GO:0004930
comp1049_c0_seq1	GO:0000166;GO:0017111;GO:0005524;GO:0004003;GO:0004004;GO:0008026;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
comp10493_c0_seq1	GO:0004222;GO:0005578;GO:0006508
comp10493_c0_seq1	GO:0004222;GO:0005578;GO:0006508
comp10493_c0_seq1	GO:0004222;GO:0005578;GO:0006508
comp10495_c0_seq1	GO:0005525;GO:0007264;GO:0005524;GO:0005554;GO:0006281
comp105_c0_seq1	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0042254
comp1050_c0_seq1	GO:0006886;GO:0030125
comp10503_c0_seq1	GO:0005525;GO:0007264;GO:0006886;GO:0000160;GO:0003677;GO:0006355;GO:0015031
comp10503_c0_seq1	GO:0005525;GO:0007264;GO:0006886;GO:0000160;GO:0003677;GO:0006355;GO:0015031
comp10504_c0_seq1	GO:0004840;GO:0006464;GO:0006512;GO:0004842
comp10505_c0_seq1	GO:0005515;GO:0003774;GO:0005200;GO:0005884
comp1051_c0_seq1	GO:0005622;GO:0006412
comp10512_c0_seq1	GO:0008478
comp10513_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0005003
comp10519_c0_seq1	GO:0008152;GO:0008484;GO:0003943;GO:0004065
comp10521_c0_seq1	GO:0003676;GO:0005524;GO:0008026;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
comp10524_c0_seq1	GO:0002226;GO:0001867
comp10524_c0_seq1	GO:0002226;GO:0001867
comp10525_c0_seq1	GO:0016706;GO:0019538
comp10528_c0_seq1	GO:0006457;GO:0031072;GO:0051082;GO:0006950;GO:0033554;GO:0061077
comp1053_c0_seq1	GO:0005576
comp10531_c0_seq1	GO:0005525;GO:0007264;GO:0015031
comp10534_c0_seq1	GO:0008152;GO:0008484;GO:0003943;GO:0004065
comp10535_c0_seq1	GO:0004222;GO:0031012;GO:0004249;GO:0008133;GO:0008319;GO:0030402
comp10537_c0_seq1	GO:0006118;GO:0008152;GO:0016491;GO:0047115;GO:0004074
comp10537_c0_seq1	GO:0006118;GO:0008152;GO:0016491;GO:0047115;GO:0004074
comp10538_c0_seq1	GO:0005452;GO:0006820;GO:0016020;GO:0015380;GO:0016021
comp1054_c0_seq1	GO:0046080;GO:0016787;GO:0004170
comp10540_c0_seq1	GO:0004363;GO:0006750;GO:0005524
comp10545_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
comp10548_c0_seq1	GO:0005488;GO:0006810;GO:0016020;GO:0005743;GO:0015207
comp10552_c0_seq1	GO:0006118;GO:0016020;GO:0016491
comp10552_c0_seq1	GO:0006118;GO:0016020;GO:0016491
comp10555_c0_seq1	GO:0008152;GO:0016491;GO:0003858
comp10562_c0_seq1	GO:0005622;GO:0008270;GO:0005529;GO:0000151;GO:0004842;GO:0016567;GO:0010992
comp10562_c0_seq1	GO:0005622;GO:0008270;GO:0005529;GO:0000151;GO:0004842;GO:0016567;GO:0010992
comp10566_c0_seq1	GO:0040029;GO:0016570
comp10568_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0008384
comp10569_c0_seq1	GO:0008152;GO:0008484;GO:0003943;GO:0004065
comp1057_c0_seq1	GO:0003700;GO:0005634;GO:0006355;GO:0003677;GO:0007275
comp1058_c0_seq1	GO:0005001
comp10582_c0_seq1	GO:0003723;GO:0006412
comp10583_c0_seq1	GO:0001584;GO:0007186;GO:0016021;GO:0004969;GO:0031808
comp10584_c0_seq1	GO:0005529;GO:0002226;GO:0001867
comp10584_c0_seq1	GO:0005529;GO:0002226;GO:0001867
comp10585_c0_seq1	GO:0003700;GO:0005634;GO:0006355
comp10586_c0_seq1	GO:0019028
comp10588_c0_seq1	GO:0007165;GO:0008570
comp10589_c0_seq1	GO:0003847
comp10595_c0_seq1	GO:0010992
comp10597_c0_seq1	GO:0004179;GO:0006508;GO:0008237;GO:0008270;GO:0004230
comp10597_c0_seq1	GO:0004179;GO:0006508;GO:0008237;GO:0008270;GO:0004230
comp106_c0_seq1	GO:0004601;GO:0051920
comp1060_c0_seq1	GO:0005044;GO:0016020;GO:0004720;GO:0005507;GO:0015922;GO:0016641
comp10604_c0_seq1	GO:0003676
comp10606_c0_seq1	GO:0005279;GO:0006865;GO:0016020;GO:0006810
comp10610_c0_seq1	GO:0016020
comp10611_c0_seq1	GO:0003824;GO:0004070;GO:0006207;GO:0016812;GO:0004086;GO:0005524;GO:0006807;GO:0005737;GO:0006526;GO:0019856;GO:0008152;GO:0016874;GO:0006520;GO:0016597;GO:0016743;GO:0009058;GO:0016787;GO:0004087
comp10612_c0_seq1	GO:0051059;GO:0002226;GO:0045824
comp10616_c0_seq1	GO:0006118;GO:0004497;GO:0050381
comp10619_c0_seq1	GO:0007218;GO:0016020;GO:0004930
comp1062_c0_seq1	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
comp10625_c0_seq1	GO:0004289;GO:0006508;GO:0000166;GO:0017111
comp10626_c0_seq1	GO:0005198
comp10626_c0_seq1	GO:0005198
comp10632_c0_seq1	GO:0005164;GO:0006955;GO:0016020;GO:0005737;GO:0006817
comp10632_c1_seq1	GO:0005164;GO:0006955;GO:0016020;GO:0005737;GO:0006817
comp10633_c0_seq1	GO:0006412
comp10634_c0_seq1	GO:0003998
comp10638_c0_seq1	GO:0016021;GO:0050291
comp10640_c0_seq1	GO:0006118;GO:0016491;GO:0047130;GO:0047131
comp10646_c0_seq1	GO:0005509
comp10648_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0008528;GO:0016020;GO:0004383
comp10658_c0_seq1	GO:0005525;GO:0007264;GO:0003676;GO:0003677;GO:0006355;GO:0015031;GO:0006412
comp1066_c0_seq1	GO:0003676
comp10661_c0_seq1	GO:0000074;GO:0006368
comp10665_c0_seq1	GO:0005737;GO:0006817
comp10667_c0_seq1	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0005634;GO:0007049;GO:0010992
comp1067_c0_seq1	GO:0004550;GO:0005524;GO:0006183;GO:0006228;GO:0006241
comp10671_c0_seq1	GO:0003824;GO:0008152;GO:0004300;GO:0004490
comp10672_c0_seq1	GO:0004663;GO:0005084;GO:0005968;GO:0006886;GO:0043087
comp10672_c0_seq1	GO:0004663;GO:0005084;GO:0005968;GO:0006886;GO:0043087
comp10674_c0_seq1	GO:0031419;GO:0002226;GO:0009682
comp10675_c0_seq1	GO:0005509
comp10678_c0_seq1	GO:0005201;GO:0005581
comp10682_c0_seq1	GO:0008083;GO:0040007;GO:0005576
comp10684_c0_seq1	GO:0007218
comp10688_c0_seq1	GO:0003755
comp1069_c0_seq1	GO:0003676;GO:0005634;GO:0008270
comp10690_c0_seq1	GO:0005515
comp10695_c0_seq1	GO:0000145;GO:0006887
comp10697_c0_seq1	GO:0040029;GO:0016570
comp10697_c0_seq1	GO:0040029;GO:0016570
comp10698_c0_seq1	GO:0004871;GO:0005622;GO:0007222;GO:0007275;GO:0005096
comp107_c0_seq1	GO:0002226;GO:0009682
comp10700_c0_seq1	GO:0031214
comp10701_c0_seq1	GO:0008067;GO:0016020;GO:0004930;GO:0001641;GO:0007600
comp10701_c0_seq1	GO:0008067;GO:0016020;GO:0004930;GO:0001641;GO:0007600
comp10708_c0_seq1	GO:0017110;GO:0045134
comp10719_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0003774;GO:0016459;GO:0004674;GO:0008570
comp1072_c0_seq1	GO:0004553;GO:0005975;GO:0015926
comp10720_c0_seq1	GO:0010992
comp10721_c0_seq1	GO:0003676;GO:0003755;GO:0004600;GO:0030051;GO:0042027;GO:0005528
comp10722_c0_seq1	GO:0003774;GO:0005524;GO:0016459;GO:0004351
comp10726_c0_seq1	GO:0005001
comp10729_c0_seq1	GO:0004179
comp10731_c0_seq1	GO:0004177;GO:0005622;GO:0006508;GO:0004178
comp10732_c0_seq1	GO:0008570
comp10737_c0_seq1	GO:0003777;GO:0005524;GO:0005875;GO:0007018
comp10742_c0_seq1	GO:0005524;GO:0016887;GO:0000166;GO:0017111
comp10743_c0_seq1	GO:0006626;GO:0042721;GO:0045039
comp10746_c0_seq1	GO:0003847
comp10747_c0_seq1	GO:0005525;GO:0006412;GO:0003924;GO:0008547;GO:0003746
comp10749_c0_seq1	GO:0005515;GO:0007165
comp10758_c0_seq1	GO:0005622;GO:0005634;GO:0006606;GO:0008565
comp10769_c0_seq1	GO:0003676;GO:0006412
comp1077_c0_seq1	GO:0005489;GO:0006118
comp10770_c0_seq1	GO:0005525;GO:0007264;GO:0006886;GO:0003924;GO:0003925
comp10771_c0_seq1	GO:0006855;GO:0015238;GO:0015297;GO:0016020
comp10774_c0_seq1	GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0000810;GO:0004787;GO:0008722;GO:0008758;GO:0008796;GO:0008828;GO:0016462;GO:0016818;GO:0019176;GO:0019177
comp10776_c0_seq1	GO:0005261;GO:0006812;GO:0016020;GO:0005216;GO:0006811;GO:0007600
comp10776_c0_seq1	GO:0005261;GO:0006812;GO:0016020;GO:0005216;GO:0006811;GO:0007600
comp10780_c0_seq1	GO:0003824;GO:0031177;GO:0006629;GO:0016789;GO:0004771
comp10782_c0_seq1	GO:0016020
comp10787_c0_seq1	GO:0005554;GO:0006412
comp1079_c0_seq1	GO:0003779;GO:0007010;GO:0015629
comp10791_c0_seq1	GO:0000226;GO:0000922;GO:0005815
comp10794_c0_seq1	GO:0008270;GO:0003676;GO:0005634
comp108_c0_seq1	GO:0045552
comp1080_c0_seq1	GO:0004556;GO:0005975
comp10802_c0_seq1	GO:0004114;GO:0007165;GO:0003824;GO:0051342;GO:0047555
comp10803_c0_seq1	GO:0006835;GO:0016020;GO:0017153
comp10806_c0_seq1	GO:0006457;GO:0031072;GO:0051082;GO:0006950;GO:0033554;GO:0061077
comp10807_c0_seq1	GO:0005509
comp10816_c0_seq1	GO:0003777;GO:0005524;GO:0005875;GO:0007018;GO:0008152;GO:0016740
comp10818_c0_seq1	GO:0031419
comp10819_c0_seq1	GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0008076;GO:0007268
